id,name,canonical_name,type
370,GSK3B-mediated proteasomal degradation of PD-L1(CD274),gsk3b-mediated proteasomal degradation of pd-l1(cd274),pathway
371,Gain-of-function MRAS complexes activate RAF signaling,gain-of-function mras complexes activate raf signaling,pathway
372,Gap junction assembly,gap junction assembly,pathway
373,Gap junction trafficking,gap junction trafficking,pathway
374,Gap junction trafficking and regulation,gap junction trafficking and regulation,pathway
375,Gap-filling DNA repair synthesis and ligation in GG-NER,gap-filling dna repair synthesis and ligation in gg-ner,pathway
376,Gap-filling DNA repair synthesis and ligation in TC-NER,gap-filling dna repair synthesis and ligation in tc-ner,pathway
377,Gastrin-CREB signalling pathway via PKC and MAPK,gastrin-creb signalling pathway via pkc and mapk,pathway
378,Gastrulation,gastrulation,pathway
379,Gene Silencing by RNA,gene silencing by rna,pathway
380,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,gene and protein expression by jak-stat signaling after interleukin-12 stimulation,pathway
381,Gene expression (Transcription),gene expression (transcription),pathway
382,Generic Transcription Pathway,generic transcription pathway,pathway
383,Global Genome Nucleotide Excision Repair (GG-NER),global genome nucleotide excision repair (gg-ner),pathway
384,Glucagon signaling in metabolic regulation,glucagon signaling in metabolic regulation,pathway
385,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,glucagon-like peptide-1 (glp1) regulates insulin secretion,pathway
386,Glucagon-type ligand receptors,glucagon-type ligand receptors,pathway
387,Glutamate Neurotransmitter Release Cycle,glutamate neurotransmitter release cycle,pathway
388,"Glutamate binding, activation of AMPA receptors and synaptic plasticity","glutamate binding, activation of ampa receptors and synaptic plasticity",pathway
389,Glycerophospholipid biosynthesis,glycerophospholipid biosynthesis,pathway
390,Golgi Associated Vesicle Biogenesis,golgi associated vesicle biogenesis,pathway
391,Golgi Cisternae Pericentriolar Stack Reorganization,golgi cisternae pericentriolar stack reorganization,pathway
392,Golgi-to-ER retrograde transport,golgi-to-er retrograde transport,pathway
393,HCMV Early Events,hcmv early events,pathway
394,HCMV Infection,hcmv infection,pathway
395,HDACs deacetylate histones,hdacs deacetylate histones,pathway
396,HDR through Homologous Recombination (HRR),hdr through homologous recombination (hrr),pathway
397,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),hdr through homologous recombination (hrr) or single strand annealing (ssa),pathway
398,HDR through MMEJ (alt-NHEJ),hdr through mmej (alt-nhej),pathway
399,HDR through Single Strand Annealing (SSA),hdr through single strand annealing (ssa),pathway
400,HIV Infection,hiv infection,pathway
401,HIV Life Cycle,hiv life cycle,pathway
402,HSF1 activation,hsf1 activation,pathway
403,HSF1-dependent transactivation,hsf1-dependent transactivation,pathway
404,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,hsp90 chaperone cycle for steroid hormone receptors (shr) in the presence of ligand,pathway
405,Hedgehog 'off' state,hedgehog 'off' state,pathway
406,Hedgehog 'on' state,hedgehog 'on' state,pathway
407,Heme degradation,heme degradation,pathway
408,Hemostasis,hemostasis,pathway
409,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,high laminar flow shear stress activates signaling by piezo1 and pecam1:cdh5:kdr in endothelial cells,pathway
410,Homology Directed Repair,homology directed repair,pathway
411,Host Interactions of HIV factors,host interactions of hiv factors,pathway
412,IGF1R signaling cascade,igf1r signaling cascade,pathway
413,IKK complex recruitment mediated by RIP1,ikk complex recruitment mediated by rip1,pathway
414,IL-6-type cytokine receptor ligand interactions,il-6-type cytokine receptor ligand interactions,pathway
415,IRAK4 deficiency (TLR2/4),irak4 deficiency (tlr2/4),pathway
416,IRS-mediated signalling,irs-mediated signalling,pathway
417,IRS-related events triggered by IGF1R,irs-related events triggered by igf1r,pathway
418,Imatinib-resistant KIT mutants,imatinib-resistant kit mutants,pathway
419,Imatinib-resistant PDGFR mutants,imatinib-resistant pdgfr mutants,pathway
420,Immune System,immune system,pathway
421,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,immunoregulatory interactions between a lymphoid and a non-lymphoid cell,pathway
422,"Inactivation, recovery and regulation of the phototransduction cascade","inactivation, recovery and regulation of the phototransduction cascade",pathway
423,Infection with Enterobacteria,infection with enterobacteria,pathway
424,Infectious disease,infectious disease,pathway
425,Inflammasomes,inflammasomes,pathway
426,Influenza Infection,influenza infection,pathway
427,Influenza Viral RNA Transcription and Replication,influenza viral rna transcription and replication,pathway
428,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,inhibition of voltage gated ca2+ channels via gbeta/gamma subunits,pathway
429,Inhibition of Signaling by Overexpressed EGFR,inhibition of signaling by overexpressed egfr,pathway
430,Inhibition of replication initiation of damaged DNA by RB1/E2F1,inhibition of replication initiation of damaged dna by rb1/e2f1,pathway
431,InlA-mediated entry of Listeria monocytogenes into host cells,inla-mediated entry of listeria monocytogenes into host cells,pathway
432,InlB-mediated entry of Listeria monocytogenes into host cell,inlb-mediated entry of listeria monocytogenes into host cell,pathway
433,Innate Immune System,innate immune system,pathway
434,Inositol phosphate metabolism,inositol phosphate metabolism,pathway
435,Insulin receptor signalling cascade,insulin receptor signalling cascade,pathway
436,Integration of energy metabolism,integration of energy metabolism,pathway
437,Integrin cell surface interactions,integrin cell surface interactions,pathway
438,Integrin signaling,integrin signaling,pathway
439,Interaction between L1 and Ankyrins,interaction between l1 and ankyrins,pathway
440,Interactions of Rev with host cellular proteins,interactions of rev with host cellular proteins,pathway
441,Interconversion of nucleotide di- and triphosphates,interconversion of nucleotide di- and triphosphates,pathway
442,Interferon Signaling,interferon signaling,pathway
443,Interferon alpha/beta signaling,interferon alpha/beta signaling,pathway
444,Interferon gamma signaling,interferon gamma signaling,pathway
445,Interleukin receptor SHC signaling,interleukin receptor shc signaling,pathway
446,Interleukin-1 family signaling,interleukin-1 family signaling,pathway
447,Interleukin-1 signaling,interleukin-1 signaling,pathway
448,Interleukin-10 signaling,interleukin-10 signaling,pathway
449,Interleukin-12 family signaling,interleukin-12 family signaling,pathway
450,Interleukin-12 signaling,interleukin-12 signaling,pathway
451,Interleukin-17 signaling,interleukin-17 signaling,pathway
452,Interleukin-2 family signaling,interleukin-2 family signaling,pathway
453,"Interleukin-3, Interleukin-5 and GM-CSF signaling","interleukin-3, interleukin-5 and gm-csf signaling",pathway
454,Interleukin-4 and Interleukin-13 signaling,interleukin-4 and interleukin-13 signaling,pathway
455,Interleukin-6 family signaling,interleukin-6 family signaling,pathway
456,Interleukin-7 signaling,interleukin-7 signaling,pathway
457,Intra-Golgi and retrograde Golgi-to-ER traffic,intra-golgi and retrograde golgi-to-er traffic,pathway
458,Intra-Golgi traffic,intra-golgi traffic,pathway
459,Intracellular signaling by second messengers,intracellular signaling by second messengers,pathway
460,Intraflagellar transport,intraflagellar transport,pathway
461,Intrinsic Pathway for Apoptosis,intrinsic pathway for apoptosis,pathway
462,Inwardly rectifying K+ channels,inwardly rectifying k+ channels,pathway
463,Ion channel transport,ion channel transport,pathway
464,Ion homeostasis,ion homeostasis,pathway
465,Ion transport by P-type ATPases,ion transport by p-type atpases,pathway
466,Iron uptake and transport,iron uptake and transport,pathway
467,KEAP1-NFE2L2 pathway,keap1-nfe2l2 pathway,pathway
468,KIT mutants bind TKIs,kit mutants bind tkis,pathway
469,KSRP (KHSRP) binds and destabilizes mRNA,ksrp (khsrp) binds and destabilizes mrna,pathway
470,KW2449-resistant FLT3 mutants,kw2449-resistant flt3 mutants,pathway
471,Keratinization,keratinization,pathway
472,Kidney development,kidney development,pathway
473,Kinesins,kinesins,pathway
474,L1CAM interactions,l1cam interactions,pathway
475,Lagging Strand Synthesis,lagging strand synthesis,pathway
476,Laminin interactions,laminin interactions,pathway
477,Leading Strand Synthesis,leading strand synthesis,pathway
478,Leishmania infection,leishmania infection,pathway
479,Leishmania parasite growth and survival,leishmania parasite growth and survival,pathway
480,Leishmania phagocytosis,leishmania phagocytosis,pathway
481,Listeria monocytogenes entry into host cells,listeria monocytogenes entry into host cells,pathway
482,Long-term potentiation,long-term potentiation,pathway
483,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,loss of function of fbxw7 in cancer and notch1 signaling,pathway
484,Loss of Function of TGFBR1 in Cancer,loss of function of tgfbr1 in cancer,pathway
485,Loss of MECP2 binding ability to 5mC-DNA,loss of mecp2 binding ability to 5mc-dna,pathway
486,Loss of Nlp from mitotic centrosomes,loss of nlp from mitotic centrosomes,pathway
487,Loss of function of MECP2 in Rett syndrome,loss of function of mecp2 in rett syndrome,pathway
488,Loss of proteins required for interphase microtubule organization from the centrosome,loss of proteins required for interphase microtubule organization from the centrosome,pathway
489,Lysosome Vesicle Biogenesis,lysosome vesicle biogenesis,pathway
490,M Phase,m phase,pathway
491,MAP kinase activation,map kinase activation,pathway
492,MAP2K and MAPK activation,map2k and mapk activation,pathway
493,MAP3K8 (TPL2)-dependent MAPK1/3 activation,map3k8 (tpl2)-dependent mapk1/3 activation,pathway
494,MAPK family signaling cascades,mapk family signaling cascades,pathway
495,MAPK targets/ Nuclear events mediated by MAP kinases,mapk targets/ nuclear events mediated by map kinases,pathway
496,MAPK1 (ERK2) activation,mapk1 (erk2) activation,pathway
497,MAPK1/MAPK3 signaling,mapk1/mapk3 signaling,pathway
498,MAPK3 (ERK1) activation,mapk3 (erk1) activation,pathway
499,MECP2 regulates neuronal receptors and channels,mecp2 regulates neuronal receptors and channels,pathway
500,MECP2 regulates transcription of neuronal ligands,mecp2 regulates transcription of neuronal ligands,pathway
501,MET activates PI3K/AKT signaling,met activates pi3k/akt signaling,pathway
502,MET activates PTK2 signaling,met activates ptk2 signaling,pathway
503,MET activates STAT3,met activates stat3,pathway
504,MET promotes cell motility,met promotes cell motility,pathway
505,MHC class II antigen presentation,mhc class ii antigen presentation,pathway
506,MITF-M-dependent gene expression,mitf-m-dependent gene expression,pathway
507,MITF-M-regulated melanocyte development,mitf-m-regulated melanocyte development,pathway
508,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,mll4 and mll3 complexes regulate expression of pparg target genes in adipogenesis and hepatic steatosis,pathway
509,MTOR signalling,mtor signalling,pathway
510,Macroautophagy,macroautophagy,pathway
511,Masitinib-resistant KIT mutants,masitinib-resistant kit mutants,pathway
512,Maternal to zygotic transition (MZT),maternal to zygotic transition (mzt),pathway
513,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,mechanical load activates signaling by piezo1 and integrins in osteocytes,pathway
514,Meiosis,meiosis,pathway
515,Meiotic recombination,meiotic recombination,pathway
516,Membrane Trafficking,membrane trafficking,pathway
517,Metabolic disorders of biological oxidation enzymes,metabolic disorders of biological oxidation enzymes,pathway
518,Metabolism,metabolism,pathway
519,Metabolism of RNA,metabolism of rna,pathway
520,Metabolism of amino acids and derivatives,metabolism of amino acids and derivatives,pathway
521,Metabolism of carbohydrates and carbohydrate derivatives,metabolism of carbohydrates and carbohydrate derivatives,pathway
522,Metabolism of cofactors,metabolism of cofactors,pathway
523,"Metabolism of ingested SeMet, Sec, MeSec into H2Se","metabolism of ingested semet, sec, mesec into h2se",pathway
524,Metabolism of lipids,metabolism of lipids,pathway
525,Metabolism of nitric oxide: NOS3 activation and regulation,metabolism of nitric oxide: nos3 activation and regulation,pathway
526,Metabolism of nucleotides,metabolism of nucleotides,pathway
527,Metabolism of porphyrins,metabolism of porphyrins,pathway
528,Metabolism of proteins,metabolism of proteins,pathway
529,Metabolism of steroid hormones,metabolism of steroid hormones,pathway
530,Metabolism of steroids,metabolism of steroids,pathway
531,Metabolism of vitamins and cofactors,metabolism of vitamins and cofactors,pathway
532,Metabolism of water-soluble vitamins and cofactors,metabolism of water-soluble vitamins and cofactors,pathway
533,Metallothioneins bind metals,metallothioneins bind metals,pathway
534,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,microtubule-dependent trafficking of connexons from golgi to the plasma membrane,pathway
535,Mismatch Repair,mismatch repair,pathway
536,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),mismatch repair (mmr) directed by msh2:msh3 (mutsbeta),pathway
537,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),mismatch repair (mmr) directed by msh2:msh6 (mutsalpha),pathway
538,Mitochondrial biogenesis,mitochondrial biogenesis,pathway
539,Mitochondrial unfolded protein response (UPRmt),mitochondrial unfolded protein response (uprmt),pathway
540,Mitophagy,mitophagy,pathway
541,Mitotic Anaphase,mitotic anaphase,pathway
542,Mitotic G1 phase and G1/S transition,mitotic g1 phase and g1/s transition,pathway
543,Mitotic G2-G2/M phases,mitotic g2-g2/m phases,pathway
544,Mitotic Metaphase and Anaphase,mitotic metaphase and anaphase,pathway
545,Mitotic Metaphase/Anaphase Transition,mitotic metaphase/anaphase transition,pathway
546,Mitotic Prometaphase,mitotic prometaphase,pathway
547,Mitotic Prophase,mitotic prophase,pathway
548,Mitotic Spindle Checkpoint,mitotic spindle checkpoint,pathway
549,Mitotic Telophase/Cytokinesis,mitotic telophase/cytokinesis,pathway
550,Molecules associated with elastic fibres,molecules associated with elastic fibres,pathway
551,Muscle contraction,muscle contraction,pathway
552,MyD88 cascade initiated on plasma membrane,myd88 cascade initiated on plasma membrane,pathway
553,MyD88 deficiency (TLR2/4),myd88 deficiency (tlr2/4),pathway
554,MyD88 dependent cascade initiated on endosome,myd88 dependent cascade initiated on endosome,pathway
555,MyD88-independent TLR4 cascade ,myd88-independent tlr4 cascade,pathway
556,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,myd88:mal(tirap) cascade initiated on plasma membrane,pathway
557,Myogenesis,myogenesis,pathway
558,NCAM signaling for neurite out-growth,ncam signaling for neurite out-growth,pathway
559,NCAM1 interactions,ncam1 interactions,pathway
560,NFE2L2 regulating MDR associated enzymes,nfe2l2 regulating mdr associated enzymes,pathway
561,NFE2L2 regulating anti-oxidant/detoxification enzymes,nfe2l2 regulating anti-oxidant/detoxification enzymes,pathway
562,NFE2L2 regulating tumorigenic genes,nfe2l2 regulating tumorigenic genes,pathway
563,NGF-independant TRKA activation,ngf-independant trka activation,pathway
564,NGF-stimulated transcription,ngf-stimulated transcription,pathway
565,NOD1/2 Signaling Pathway,nod1/2 signaling pathway,pathway
566,NOTCH1 Intracellular Domain Regulates Transcription,notch1 intracellular domain regulates transcription,pathway
567,NOTCH2 Activation and Transmission of Signal to the Nucleus,notch2 activation and transmission of signal to the nucleus,pathway
568,NOTCH3 Activation and Transmission of Signal to the Nucleus,notch3 activation and transmission of signal to the nucleus,pathway
569,NOTCH4 Intracellular Domain Regulates Transcription,notch4 intracellular domain regulates transcription,pathway
570,NPAS4 regulates expression of target genes,npas4 regulates expression of target genes,pathway
571,Neddylation,neddylation,pathway
572,Negative Regulation of CDH1 Gene Transcription,negative regulation of cdh1 gene transcription,pathway
573,Negative epigenetic regulation of rRNA expression,negative epigenetic regulation of rrna expression,pathway
574,Negative feedback regulation of MAPK pathway,negative feedback regulation of mapk pathway,pathway
575,Negative regulation of FGFR1 signaling,negative regulation of fgfr1 signaling,pathway
576,Negative regulation of FGFR2 signaling,negative regulation of fgfr2 signaling,pathway
577,Negative regulation of FGFR3 signaling,negative regulation of fgfr3 signaling,pathway
578,Negative regulation of FGFR4 signaling,negative regulation of fgfr4 signaling,pathway
579,Negative regulation of FLT3,negative regulation of flt3,pathway
580,Negative regulation of MAPK pathway,negative regulation of mapk pathway,pathway
581,Negative regulation of MET activity,negative regulation of met activity,pathway
582,Negative regulation of NMDA receptor-mediated neuronal transmission,negative regulation of nmda receptor-mediated neuronal transmission,pathway
583,Negative regulation of NOTCH4 signaling,negative regulation of notch4 signaling,pathway
584,Negative regulation of the PI3K/AKT network,negative regulation of the pi3k/akt network,pathway
585,Nephrin family interactions,nephrin family interactions,pathway
586,Nervous system development,nervous system development,pathway
587,Netrin mediated repulsion signals,netrin mediated repulsion signals,pathway
588,Netrin-1 signaling,netrin-1 signaling,pathway
589,Neurexins and neuroligins,neurexins and neuroligins,pathway
590,Neurofascin interactions,neurofascin interactions,pathway
591,Neuronal System,neuronal system,pathway
592,Neurophilin interactions with VEGF and VEGFR,neurophilin interactions with vegf and vegfr,pathway
593,Neurotoxicity of clostridium toxins,neurotoxicity of clostridium toxins,pathway
594,Neurotransmitter receptors and postsynaptic signal transmission,neurotransmitter receptors and postsynaptic signal transmission,pathway
595,Neurotransmitter release cycle,neurotransmitter release cycle,pathway
596,Neutrophil degranulation,neutrophil degranulation,pathway
597,Nicotinate metabolism,nicotinate metabolism,pathway
598,Nilotinib-resistant KIT mutants,nilotinib-resistant kit mutants,pathway
599,NoRC negatively regulates rRNA expression,norc negatively regulates rrna expression,pathway
600,Non-canonical inflammasome activation,non-canonical inflammasome activation,pathway
601,Non-integrin membrane-ECM interactions,non-integrin membrane-ecm interactions,pathway
602,Norepinephrine Neurotransmitter Release Cycle,norepinephrine neurotransmitter release cycle,pathway
603,Notch-HLH transcription pathway,notch-hlh transcription pathway,pathway
604,Nuclear Envelope (NE) Reassembly,nuclear envelope (ne) reassembly,pathway
605,Nuclear Envelope Breakdown,nuclear envelope breakdown,pathway
606,Nuclear Events (kinase and transcription factor activation),nuclear events (kinase and transcription factor activation),pathway
607,Nuclear Receptor transcription pathway,nuclear receptor transcription pathway,pathway
608,Nuclear events mediated by NFE2L2,nuclear events mediated by nfe2l2,pathway
609,Nuclear events stimulated by ALK signaling in cancer,nuclear events stimulated by alk signaling in cancer,pathway
610,Nuclear import of Rev protein,nuclear import of rev protein,pathway
611,Nuclear signaling by ERBB4,nuclear signaling by erbb4,pathway
612,Nucleosome assembly,nucleosome assembly,pathway
613,Nucleotide Excision Repair,nucleotide excision repair,pathway
614,Nucleotide biosynthesis,nucleotide biosynthesis,pathway
615,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","nucleotide-binding domain, leucine rich repeat containing receptor (nlr) signaling pathways",pathway
616,O-glycosylation of TSR domain-containing proteins,o-glycosylation of tsr domain-containing proteins,pathway
617,O-linked glycosylation,o-linked glycosylation,pathway
618,Oncogene Induced Senescence,oncogene induced senescence,pathway
619,Oncogenic MAPK signaling,oncogenic mapk signaling,pathway
620,Opioid Signalling,opioid signalling,pathway
621,Orc1 removal from chromatin,orc1 removal from chromatin,pathway
622,Organelle biogenesis and maintenance,organelle biogenesis and maintenance,pathway
623,Other interleukin signaling,other interleukin signaling,pathway
624,Ovarian tumor domain proteases,ovarian tumor domain proteases,pathway
625,Oxidative Stress Induced Senescence,oxidative stress induced senescence,pathway
626,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,oxygen-dependent proline hydroxylation of hypoxia-inducible factor alpha,pathway
627,PCNA-Dependent Long Patch Base Excision Repair,pcna-dependent long patch base excision repair,pathway
628,PCP/CE pathway,pcp/ce pathway,pathway
629,PDGFR mutants bind TKIs,pdgfr mutants bind tkis,pathway
630,PECAM1 interactions,pecam1 interactions,pathway
631,PI Metabolism,pi metabolism,pathway
632,PI-3K cascade:FGFR1,pi-3k cascade:fgfr1,pathway
633,PI-3K cascade:FGFR2,pi-3k cascade:fgfr2,pathway
634,PI-3K cascade:FGFR3,pi-3k cascade:fgfr3,pathway
635,PI-3K cascade:FGFR4,pi-3k cascade:fgfr4,pathway
636,PI3K Cascade,pi3k cascade,pathway
637,PI3K events in ERBB2 signaling,pi3k events in erbb2 signaling,pathway
638,PI3K events in ERBB4 signaling,pi3k events in erbb4 signaling,pathway
639,PI3K/AKT Signaling in Cancer,pi3k/akt signaling in cancer,pathway
640,PI3K/AKT activation,pi3k/akt activation,pathway
641,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","pi5p, pp2a and ier3 regulate pi3k/akt signaling",pathway
642,PIP3 activates AKT signaling,pip3 activates akt signaling,pathway
643,PIWI-interacting RNA (piRNA) biogenesis,piwi-interacting rna (pirna) biogenesis,pathway
644,PKR-mediated signaling,pkr-mediated signaling,pathway
645,PLC-gamma1 signalling,plc-gamma1 signalling,pathway
646,PLCG1 events in ERBB2 signaling,plcg1 events in erbb2 signaling,pathway
647,POLB-Dependent Long Patch Base Excision Repair,polb-dependent long patch base excision repair,pathway
648,PPARA activates gene expression,ppara activates gene expression,pathway
649,PRC2 methylates histones and DNA,prc2 methylates histones and dna,pathway
650,PTEN Regulation,pten regulation,pathway
651,PTK6 Expression,ptk6 expression,pathway
652,PTK6 Regulates Cell Cycle,ptk6 regulates cell cycle,pathway
653,PTK6 promotes HIF1A stabilization,ptk6 promotes hif1a stabilization,pathway
654,Paracetamol ADME,paracetamol adme,pathway
655,Paradoxical activation of RAF signaling by kinase inactive BRAF,paradoxical activation of raf signaling by kinase inactive braf,pathway
656,Parasite infection,parasite infection,pathway
657,Parasitic Infection Pathways,parasitic infection pathways,pathway
658,Peptide hormone metabolism,peptide hormone metabolism,pathway
659,Peptide ligand-binding receptors,peptide ligand-binding receptors,pathway
660,Pervasive developmental disorders,pervasive developmental disorders,pathway
661,Phase 0 - rapid depolarisation,phase 0 - rapid depolarisation,pathway
662,Phase 4 - resting membrane potential,phase 4 - resting membrane potential,pathway
663,Phase I - Functionalization of compounds,phase i - functionalization of compounds,pathway
664,Phase II - Conjugation of compounds,phase ii - conjugation of compounds,pathway
665,Phospholipase C-mediated cascade: FGFR1,phospholipase c-mediated cascade: fgfr1,pathway
666,Phospholipase C-mediated cascade; FGFR2,phospholipase c-mediated cascade; fgfr2,pathway
667,Phospholipase C-mediated cascade; FGFR3,phospholipase c-mediated cascade; fgfr3,pathway
668,Phospholipid metabolism,phospholipid metabolism,pathway
669,Phosphorylation of Emi1,phosphorylation of emi1,pathway
670,Phosphorylation of the APC/C,phosphorylation of the apc/c,pathway
671,Platelet Aggregation (Plug Formation),platelet aggregation (plug formation),pathway
672,"Platelet activation, signaling and aggregation","platelet activation, signaling and aggregation",pathway
673,Platelet degranulation ,platelet degranulation,pathway
674,Platelet homeostasis,platelet homeostasis,pathway
675,Polo-like kinase mediated events,polo-like kinase mediated events,pathway
676,Polymerase switching,polymerase switching,pathway
677,Polymerase switching on the C-strand of the telomere,polymerase switching on the c-strand of the telomere,pathway
678,Positive epigenetic regulation of rRNA expression,positive epigenetic regulation of rrna expression,pathway
679,Post NMDA receptor activation events,post nmda receptor activation events,pathway
680,Post-chaperonin tubulin folding pathway,post-chaperonin tubulin folding pathway,pathway
681,Post-translational modification: synthesis of GPI-anchored proteins,post-translational modification: synthesis of gpi-anchored proteins,pathway
682,Post-translational protein modification,post-translational protein modification,pathway
683,Post-translational protein phosphorylation,post-translational protein phosphorylation,pathway
684,Potassium Channels,potassium channels,pathway
685,Potential therapeutics for SARS,potential therapeutics for sars,pathway
686,Pre-NOTCH Expression and Processing,pre-notch expression and processing,pathway
687,Pre-NOTCH Transcription and Translation,pre-notch transcription and translation,pathway
688,Prefoldin mediated transfer of substrate  to CCT/TriC,prefoldin mediated transfer of substrate to cct/tric,pathway
689,Presynaptic function of Kainate receptors,presynaptic function of kainate receptors,pathway
690,Processive synthesis on the C-strand of the telomere,processive synthesis on the c-strand of the telomere,pathway
691,Processive synthesis on the lagging strand,processive synthesis on the lagging strand,pathway
692,Programmed Cell Death,programmed cell death,pathway
693,Prolactin receptor signaling,prolactin receptor signaling,pathway
694,Prolonged ERK activation events,prolonged erk activation events,pathway
695,Prostacyclin signalling through prostacyclin receptor,prostacyclin signalling through prostacyclin receptor,pathway
696,Protein folding,protein folding,pathway
697,Protein-protein interactions at synapses,protein-protein interactions at synapses,pathway
698,Purine ribonucleoside monophosphate biosynthesis,purine ribonucleoside monophosphate biosynthesis,pathway
699,Purinergic signaling in leishmaniasis infection,purinergic signaling in leishmaniasis infection,pathway
700,Pyroptosis,pyroptosis,pathway
701,RAB GEFs exchange GTP for GDP on RABs,rab gefs exchange gtp for gdp on rabs,pathway
702,RAB geranylgeranylation,rab geranylgeranylation,pathway
703,RAC1 GTPase cycle,rac1 gtpase cycle,pathway
704,RAC2 GTPase cycle,rac2 gtpase cycle,pathway
705,RAC3 GTPase cycle,rac3 gtpase cycle,pathway
706,RAF activation,raf activation,pathway
707,RAF-independent MAPK1/3 activation,raf-independent mapk1/3 activation,pathway
708,RAF/MAP kinase cascade,raf/map kinase cascade,pathway
709,RAS processing,ras processing,pathway
710,RET signaling,ret signaling,pathway
711,RHO GTPase Effectors,rho gtpase effectors,pathway
712,RHO GTPase cycle,rho gtpase cycle,pathway
713,RHO GTPases Activate Formins,rho gtpases activate formins,pathway
714,RHO GTPases Activate NADPH Oxidases,rho gtpases activate nadph oxidases,pathway
715,RHO GTPases Activate ROCKs,rho gtpases activate rocks,pathway
716,RHO GTPases Activate WASPs and WAVEs,rho gtpases activate wasps and waves,pathway
717,RHO GTPases activate CIT,rho gtpases activate cit,pathway
718,RHO GTPases activate IQGAPs,rho gtpases activate iqgaps,pathway
719,RHO GTPases activate PKNs,rho gtpases activate pkns,pathway
720,RHOA GTPase cycle,rhoa gtpase cycle,pathway
721,RHOB GTPase cycle,rhob gtpase cycle,pathway
722,RHOBTB GTPase Cycle,rhobtb gtpase cycle,pathway
723,RHOBTB2 GTPase cycle,rhobtb2 gtpase cycle,pathway
724,RHOC GTPase cycle,rhoc gtpase cycle,pathway
725,RHOD GTPase cycle,rhod gtpase cycle,pathway
726,RHOF GTPase cycle,rhof gtpase cycle,pathway
727,RHOG GTPase cycle,rhog gtpase cycle,pathway
728,RHOH GTPase cycle,rhoh gtpase cycle,pathway
729,RHOJ GTPase cycle,rhoj gtpase cycle,pathway
730,RHOQ GTPase cycle,rhoq gtpase cycle,pathway
731,RHOU GTPase cycle,rhou gtpase cycle,pathway
732,RHOV GTPase cycle,rhov gtpase cycle,pathway
733,RIPK1-mediated regulated necrosis,ripk1-mediated regulated necrosis,pathway
734,RMTs methylate histone arginines,rmts methylate histone arginines,pathway
735,RNA Polymerase I Promoter Clearance,rna polymerase i promoter clearance,pathway
736,RNA Polymerase I Promoter Escape,rna polymerase i promoter escape,pathway
737,RNA Polymerase I Transcription,rna polymerase i transcription,pathway
738,RNA Polymerase I Transcription Initiation,rna polymerase i transcription initiation,pathway
739,RNA Polymerase I Transcription Termination,rna polymerase i transcription termination,pathway
740,RNA Polymerase II Transcription,rna polymerase ii transcription,pathway
741,RNA polymerase II transcribes snRNA genes,rna polymerase ii transcribes snrna genes,pathway
742,RND1 GTPase cycle,rnd1 gtpase cycle,pathway
743,RND2 GTPase cycle,rnd2 gtpase cycle,pathway
744,RND3 GTPase cycle,rnd3 gtpase cycle,pathway
745,RSV-host interactions,rsv-host interactions,pathway
746,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,runx1 interacts with co-factors whose precise effect on runx1 targets is not known,pathway
747,RUNX1 regulates estrogen receptor mediated transcription,runx1 regulates estrogen receptor mediated transcription,pathway
748,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,runx1 regulates genes involved in megakaryocyte differentiation and platelet function,pathway
749,RUNX1 regulates transcription of genes involved in WNT signaling,runx1 regulates transcription of genes involved in wnt signaling,pathway
750,RUNX1 regulates transcription of genes involved in differentiation of HSCs,runx1 regulates transcription of genes involved in differentiation of hscs,pathway
751,RUNX2 regulates bone development,runx2 regulates bone development,pathway
752,RUNX2 regulates osteoblast differentiation,runx2 regulates osteoblast differentiation,pathway
753,RUNX3 regulates WNT signaling,runx3 regulates wnt signaling,pathway
754,RUNX3 regulates YAP1-mediated transcription,runx3 regulates yap1-mediated transcription,pathway
755,RUNX3 regulates p14-ARF,runx3 regulates p14-arf,pathway
756,Rab regulation of trafficking,rab regulation of trafficking,pathway
757,Rap1 signalling,rap1 signalling,pathway
758,Receptor Mediated Mitophagy,receptor mediated mitophagy,pathway
759,Recognition of DNA damage by PCNA-containing replication complex,recognition of dna damage by pcna-containing replication complex,pathway
